Name,Index,Offset,IoType,Unit,Item,Action,Device,DataType,ContactPoint,IsSubscription,Default,Min,Max,Timeout,AlarmCode,ExeCmd,ActuatorId,Options,SimCmd,Desc
sxDeviceOutRobot,1,0,2,Device,OutRobot,,OutRobot,1,0,1,0,0,0,0,0,,0,,,Device Open / Close Status
syDeviceOutRobot,1,0,3,Device,OutRobot,,OutRobot,1,0,0,0,0,0,0,0,,1,127.0.0.1/18000,sxDeviceOutRobot/0/0/0/100;,Device Open / Close Command
xDeviceLibraryVersion,1,0,0,Device,Library,Version,OutRobot,2,0,0,0,0,0,0,0,AxlGetLibVersion,0,,,Device Library Version
xOutRobotClient1Connect,1,0,0,OutRobot,Client1,Connect,OutRobot,2,0,0,0,0,0,0,0,,0,,,TCP Clicent Connect Status
yOutRobotSendOffset,1,0,1,OutRobot,,SendOffset,OutRobot,0,0,0,0,0,1,0,0,,0,,,
yOutRobotOffsetdataLOAD_POSITION_A,1,0,1,OutRobot,Offsetdata,LOAD_POSITION_A,OutRobot,2,0,0,0,0,1,0,0,1/2/3/4/5/6/7/8,0,,,107/1111/NACHI_OUT_ROBOT/LOAD_POSITION_A/0/0/0/0/0/0/0/0
yOutRobotOffsetdataLOAD_POSITION_B,1,0,1,OutRobot,Offsetdata,LOAD_POSITION_B,OutRobot,2,0,0,0,0,1,0,0,21/22/23/24/25/26/27/28,0,,,108/1111/NACHI_OUT_ROBOT/LOAD_POSITION_B/0/0/0/0/0/0/0/0
yOutRobotOffsetdataUNLOAD_POSITION_A,1,0,1,OutRobot,Offsetdata,UNLOAD_POSITION_A,OutRobot,2,0,0,0,0,1,0,0,31/32/33/34/35/36/37/38,0,,,109/1111/NACHI_OUT_ROBOT/UNLOAD_POSITION_A/0/0/0/0/0/0/0/0
yOutRobotOffsetdataUNLOAD_POSITION_B,1,0,1,OutRobot,Offsetdata,UNLOAD_POSITION_B,OutRobot,2,0,0,0,0,1,0,0,41/42/43/44/45/46/47/48,0,,,110/1111/NACHI_OUT_ROBOT/UNLOAD_POSITION_B/0/0/0/0/0/0/0/0
yOutRobotOffsetdataBPT_A,1,0,1,OutRobot,Offsetdata,BPT_A,OutRobot,2,0,0,0,0,1,0,0,0/0/0/0/0/0/0/0,0,,,127/9999/NACHI_OUT_ROBOT/BPT/0/0/0/0/0/0/0/0
yOutRobotOffsetdataBPT_B,1,0,1,OutRobot,Offsetdata,BPT_B,OutRobot,2,0,0,0,0,1,0,0,1/0/0/0/0/0/0/0,0,,,128/9999/NACHI_OUT_ROBOT/BPT/1/0/0/0/0/0/0/0
yOutRobotOffsetdataBPU_A,1,0,1,OutRobot,Offsetdata,BPU_A,OutRobot,2,0,0,0,0,1,0,0,2/0/0/0/0/0/0/0,0,,,129/9999/NACHI_OUT_ROBOT/BPT/2/0/0/0/0/0/0/0
yOutRobotOffsetdataBPU_B,1,0,1,OutRobot,Offsetdata,BPU_B,OutRobot,2,0,0,0,0,1,0,0,3/0/0/0/0/0/0/0,0,,,130/9999/NACHI_OUT_ROBOT/BPT/3/0/0/0/0/0/0/0
yOutRobotOffsetdataBPT_C,1,0,1,OutRobot,Offsetdata,BPT_C,OutRobot,2,0,0,0,0,1,0,0,0/0/0/0/0/0/0/0,0,,,137/9998/NACHI_OUT_ROBOT/BPT/0/0/0/0/0/0/0/0
yOutRobotOffsetdataBPT_D,1,0,1,OutRobot,Offsetdata,BPT_D,OutRobot,2,0,0,0,0,1,0,0,1/0/0/0/0/0/0/0,0,,,138/9998/NACHI_OUT_ROBOT/BPT/1/0/0/0/0/0/0/0
yOutRobotOffsetdataBPU_C,1,0,1,OutRobot,Offsetdata,BPU_C,OutRobot,2,0,0,0,0,1,0,0,0/0/0/0/0/0/0/0,0,,,139/9998/NACHI_OUT_ROBOT/BPT/2/0/0/0/0/0/0/0
yOutRobotOffsetdataBPU_D,1,0,1,OutRobot,Offsetdata,BPU_D,OutRobot,2,0,0,0,0,1,0,0,3/0/0/0/0/0/0/0,0,,,140/9998/NACHI_OUT_ROBOT/BPT/3/0/0/0/0/0/0/0
yOutRobotOffsetdataBPT_E,1,0,1,OutRobot,Offsetdata,BPT_E,OutRobot,2,0,0,0,0,1,0,0,0/0/0/0/0/0/0/0,0,,,147/9997/NACHI_OUT_ROBOT/BPT/0/0/0/0/0/0/0/0
yOutRobotOffsetdataBPT_F,1,0,1,OutRobot,Offsetdata,BPT_F,OutRobot,2,0,0,0,0,1,0,0,1/0/0/0/0/0/0/0,0,,,148/9997/NACHI_OUT_ROBOT/BPT/1/0/0/0/0/0/0/0
yOutRobotOffsetdataBPU_E,1,0,1,OutRobot,Offsetdata,BPU_E,OutRobot,2,0,0,0,0,1,0,0,2/0/0/0/0/0/0/0,0,,,149/9997/NACHI_OUT_ROBOT/BPT/2/0/0/0/0/0/0/0
yOutRobotOffsetdataBPU_F,1,0,1,OutRobot,Offsetdata,BPU_F,OutRobot,2,0,0,0,0,1,0,0,3/0/0/0/0/0/0/0,0,,,150/9997/NACHI_OUT_ROBOT/BPT/3/0/0/0/0/0/0/0
xOutRobotTEACH_MODE,1,0,0,OutRobot,,TEACH_MODE,OutRobot,0,0,0,0,0,1,0,0,0x80,0,,,
xOutRobotPLAY_BACK_MODE,1,0,0,OutRobot,,PLAY_BACK_MODE,OutRobot,0,0,0,0,0,1,0,0,0x81,0,,,
xOutRobotRUNNING_U1,1,0,0,OutRobot,,RUNNING_U1,OutRobot,0,0,0,0,0,1,0,0,0x82,0,,,
xOutRobotUNDER_STOPPING,1,0,0,OutRobot,,UNDER_STOPPING,OutRobot,0,0,0,0,0,1,0,0,0x83,0,,,
xOutRobotINTERLOCK_ALARM,1,0,0,OutRobot,,INTERLOCK_ALARM,OutRobot,0,0,0,0,0,1,0,0,0x84,0,,,
xOutRobotMOTOR_ENERGIZED,1,0,0,OutRobot,,MOTOR_ENERGIZED,OutRobot,0,0,0,0,0,1,0,0,0x85,0,,,
xOutRobotPROGRAM_ENDED_U1,1,0,0,OutRobot,,PROGRAM_ENDED_U1,OutRobot,0,0,0,0,0,1,0,0,0x86,0,,,
xOutRobotFAILURE,1,0,0,OutRobot,,FAILURE,OutRobot,0,0,0,0,0,1,0,0,0x87,0,,,
xOutRobotBATTERY_WARNING_M1,1,0,0,OutRobot,,BATTERY_WARNING_M1,OutRobot,0,0,0,0,0,1,0,0,0x88,0,,,
xOutRobotHOME_POSITION_U1_1,1,0,0,OutRobot,,HOME_POSITION_U1_1,OutRobot,0,0,0,0,0,1,0,0,0x89,0,,,
xOutRobotHOME_POSITION_U1_2,1,0,0,OutRobot,,HOME_POSITION_U1_2,OutRobot,0,0,0,0,0,1,0,0,0x8A,0,,,
xOutRobotPROGRAM_SELECTED,1,0,0,OutRobot,,PROGRAM_SELECTED,OutRobot,0,0,0,0,0,1,0,0,0x8B,0,,,
xOutRobotEXTERNAL_REST_ACK_NO,1,0,0,OutRobot,,EXTERNAL_REST_ACK_NO,OutRobot,0,0,0,0,0,1,0,0,0x8C,0,,,
xOutRobotSTATE_OUTPUT_1,1,0,0,OutRobot,,STATE_OUTPUT_1,OutRobot,0,0,0,0,0,1,0,0,0x8D,0,,,
xOutRobotEMERGENCY_STOP,1,0,0,OutRobot,,EMERGENCY_STOP,OutRobot,0,0,0,0,0,1,0,0,0x8E,0,,,
xOutRobotUNIT_READY,1,0,0,OutRobot,,UNIT_READY,OutRobot,0,0,0,0,0,1,0,0,0x8F,0,,,
xOutRobotBUSY_SIGNALS,1,0,0,OutRobot,,BUSY_SIGNALS,OutRobot,0,0,0,0,0,1,0,0,0x90,0,,,
xOutRobotSPARE_X018,1,0,0,OutRobot,,SPARE_X018,OutRobot,0,0,0,0,0,1,0,0,0x91,0,,,
xOutRobotSPARE_X019,1,0,0,OutRobot,,SPARE_X019,OutRobot,0,0,0,0,0,1,0,0,0x92,0,,,
xOutRobotSPARE_X020,1,0,0,OutRobot,,SPARE_X020,OutRobot,0,0,0,0,0,1,0,0,0x93,0,,,
xOutRobotSPARE_X021,1,0,0,OutRobot,,SPARE_X021,OutRobot,0,0,0,0,0,1,0,0,0x94,0,,,
xOutRobotSPARE_X022,1,0,0,OutRobot,,SPARE_X022,OutRobot,0,0,0,0,0,1,0,0,0x95,0,,,
xOutRobotPENDANT_EMS,1,0,0,OutRobot,,PENDANT_EMS,OutRobot,0,0,0,0,0,1,0,0,0x96,0,,,
xOutRobotCONTROLLER_EMS,1,0,0,OutRobot,,CONTROLLER_EMS,OutRobot,0,0,0,0,0,1,0,0,0x97,0,,,
xOutRobotSPARE_X025,1,0,0,OutRobot,,SPARE_X025,OutRobot,0,0,0,0,0,1,0,0,0x98,0,,,
xOutRobotSPARE_X026,1,0,0,OutRobot,,SPARE_X026,OutRobot,0,0,0,0,0,1,0,0,0x99,0,,,
xOutRobotSPARE_X027,1,0,0,OutRobot,,SPARE_X027,OutRobot,0,0,0,0,0,1,0,0,0x9A,0,,,
xOutRobotSPARE_X028,1,0,0,OutRobot,,SPARE_X028,OutRobot,0,0,0,0,0,1,0,0,0x9B,0,,,
xOutRobotMANUAL_MODE,1,0,0,OutRobot,,MANUAL_MODE,OutRobot,0,0,0,0,0,1,0,0,0x9C,0,,,
xOutRobotMANUAL_MOVE_COMPLETE,1,0,0,OutRobot,,MANUAL_MOVE_COMPLETE,OutRobot,0,0,0,0,0,1,0,0,0x9D,0,,,
xOutRobotMANUAL_MOVE_STAND_BY,1,0,0,OutRobot,,MANUAL_MOVE_STAND_BY,OutRobot,0,0,0,0,0,1,0,0,0x9E,0,,,
xOutRobotSPARE_X32,1,0,0,OutRobot,,SPARE_X32,OutRobot,0,0,0,0,0,1,0,0,0x9F,0,,,
xOutRobotTOOL_1_VACUUM_ON_DI,1,0,0,OutRobot,,TOOL_1_VACUUM_ON_DI,OutRobot,0,0,0,0,0,1,0,0,0xA0,0,,,
xOutRobotTOOL_1_VACUUM_OFF_DI,1,0,0,OutRobot,,TOOL_1_VACUUM_OFF_DI,OutRobot,0,0,0,0,0,1,0,0,0xA1,0,,,
xOutRobotTOOL_1_CYLINDER_UP_DI,1,0,0,OutRobot,,TOOL_1_CYLINDER_UP_DI,OutRobot,0,0,0,0,0,1,0,0,0xA2,0,,,
xOutRobotTOOL_1_CYLINDER_DOWN_DI,1,0,0,OutRobot,,TOOL_1_CYLINDER_DOWN_DI,OutRobot,0,0,0,0,0,1,0,0,0xA3,0,,,
xOutRobotTOOL_2_VACUUM_ON_DI,1,0,0,OutRobot,,TOOL_2_VACUUM_ON_DI,OutRobot,0,0,0,0,0,1,0,0,0xA4,0,,,
xOutRobotTOOL_2_VACUUM_OFF_DI,1,0,0,OutRobot,,TOOL_2_VACUUM_OFF_DI,OutRobot,0,0,0,0,0,1,0,0,0xA5,0,,,
xOutRobotTOOL_2_CYLINDER_UP_DI,1,0,0,OutRobot,,TOOL_2_CYLINDER_UP_DI,OutRobot,0,0,0,0,0,1,0,0,0xA6,0,,,
xOutRobotTOOL_2_CYLINDER_DOWN_DI,1,0,0,OutRobot,,TOOL_2_CYLINDER_DOWN_DI,OutRobot,0,0,0,0,0,1,0,0,0xA7,0,,,
xOutRobotGET_SELECT_ACK,1,0,0,OutRobot,,GET_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xA8,0,,,
xOutRobotPUT_SELECT_ACK,1,0,0,OutRobot,,PUT_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xA9,0,,,
xOutRobotTOOL1_SELECT_ACK,1,0,0,OutRobot,,TOOL1_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xAA,0,,,
xOutRobotTOOL2_SELECT_ACK,1,0,0,OutRobot,,TOOL2_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xAB,0,,,
xOutRobotTOOL12_SELECT_ACK,1,0,0,OutRobot,,TOOL12_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xAC,0,,,
xOutRobotSTAGE1_SELECT_ACK,1,0,0,OutRobot,,STAGE1_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xAD,0,,,
xOutRobotSTAGE2_SELECT_ACK,1,0,0,OutRobot,,STAGE2_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xAE,0,,,
xOutRobotSTAGE3_SELECT_ACK,1,0,0,OutRobot,,STAGE3_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xAF,0,,,
xOutRobotSTAGE4_SELECT_ACK,1,0,0,OutRobot,,STAGE4_SELECT_ACK,OutRobot,0,0,0,0,0,1,0,0,0xB0,0,,,
xOutRobotT1_MCR_REQ,1,0,0,OutRobot,,T1_MCR_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB1,0,,,
xOutRobotT2_MCR_REQ,1,0,0,OutRobot,,T2_MCR_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB2,0,,,
xOutRobotSTG1_VAC_ON_REQ,1,0,0,OutRobot,,STG1_VAC_ON_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB3,0,,,
xOutRobotSTG1_VAC_OFF_REQ,1,0,0,OutRobot,,STG1_VAC_OFF_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB4,0,,,
xOutRobotSTG2_VAC_ON_REQ,1,0,0,OutRobot,,STG2_VAC_ON_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB5,0,,,
xOutRobotSTG2_VAC_OFF_REQ,1,0,0,OutRobot,,STG2_VAC_OFF_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB6,0,,,
xOutRobotSTG3_VAC_ON_REQ,1,0,0,OutRobot,,STG3_VAC_ON_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB7,0,,,
xOutRobotSTG3_VAC_OFF_REQ,1,0,0,OutRobot,,STG3_VAC_OFF_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB8,0,,,
xOutRobotSTG4_VAC_ON_REQ,1,0,0,OutRobot,,STG4_VAC_ON_REQ,OutRobot,0,0,0,0,0,1,0,0,0xB9,0,,,
xOutRobotSTG4_VAC_OFF_REQ,1,0,0,OutRobot,,STG4_VAC_OFF_REQ,OutRobot,0,0,0,0,0,1,0,0,0xBA,0,,,
xOutRobotSPARE_STG1_VAC_ON_REQ,1,0,0,OutRobot,,SPARE_STG1_VAC_ON_REQ,OutRobot,0,0,0,0,0,1,0,0,0xBB,0,,,
xOutRobotSPARE_STG1_VAC_OFF_REQ,1,0,0,OutRobot,,SPARE_STG1_VAC_OFF_REQ,OutRobot,0,0,0,0,0,1,0,0,0xBC,0,,,
xOutRobotSPARE_STG2_VAC_ON_REQ,1,0,0,OutRobot,,SPARE_STG2_VAC_ON_REQ,OutRobot,0,0,0,0,0,1,0,0,0xBD,0,,,
xOutRobotSPARE_STG2_VAC_OFF_REQ,1,0,0,OutRobot,,SPARE_STG2_VAC_OFF_REQ,OutRobot,0,0,0,0,0,1,0,0,0xBE,0,,,
xOutRobotSPARE_X64,1,0,0,OutRobot,,SPARE_X64,OutRobot,0,0,0,0,0,1,0,0,0xBF,0,,,
xOutRobotSPARE_X65,1,0,0,OutRobot,,SPARE_X65,OutRobot,0,0,0,0,0,1,0,0,0xC0,0,,,
xOutRobotP1_INTERLOCK,1,0,0,OutRobot,,P1_INTERLOCK,OutRobot,0,0,0,0,0,1,0,0,0xC1,0,,,
xOutRobotSPARE_X67,1,0,0,OutRobot,,SPARE_X67,OutRobot,0,0,0,0,0,1,0,0,0xC2,0,,,
xOutRobotSPARE_X68,1,0,0,OutRobot,,SPARE_X68,OutRobot,0,0,0,0,0,1,0,0,0xC3,0,,,
xOutRobotSPARE_X69,1,0,0,OutRobot,,SPARE_X69,OutRobot,0,0,0,0,0,1,0,0,0xC4,0,,,
xOutRobotP1_COMPLETE,1,0,0,OutRobot,,P1_COMPLETE,OutRobot,0,0,0,0,0,1,0,0,0xC5,0,,,
xOutRobotP2_INTERLOCK,1,0,0,OutRobot,,P2_INTERLOCK,OutRobot,0,0,0,0,0,1,0,0,0xC6,0,,,
xOutRobotSPARE_X72,1,0,0,OutRobot,,SPARE_X72,OutRobot,0,0,0,0,0,1,0,0,0xC7,0,,,
xOutRobotSPARE_X73,1,0,0,OutRobot,,SPARE_X73,OutRobot,0,0,0,0,0,1,0,0,0xC8,0,,,
xOutRobotSPARE_X74,1,0,0,OutRobot,,SPARE_X74,OutRobot,0,0,0,0,0,1,0,0,0xC9,0,,,
xOutRobotP2_COMPLETE,1,0,0,OutRobot,,P2_COMPLETE,OutRobot,0,0,0,0,0,1,0,0,0xCA,0,,,
xOutRobotP3_INTERLOCK,1,0,0,OutRobot,,P3_INTERLOCK,OutRobot,0,0,0,0,0,1,0,0,0xCB,0,,,
xOutRobotSPARE_X77,1,0,0,OutRobot,,SPARE_X77,OutRobot,0,0,0,0,0,1,0,0,0xCC,0,,,
xOutRobotSPARE_X78,1,0,0,OutRobot,,SPARE_X78,OutRobot,0,0,0,0,0,1,0,0,0xCD,0,,,
xOutRobotSPARE_X79,1,0,0,OutRobot,,SPARE_X79,OutRobot,0,0,0,0,0,1,0,0,0xCE,0,,,
xOutRobotP3_COMPLETE,1,0,0,OutRobot,,P3_COMPLETE,OutRobot,0,0,0,0,0,1,0,0,0xCF,0,,,
xOutRobotP4_INTERLOCK,1,0,0,OutRobot,,P4_INTERLOCK,OutRobot,0,0,0,0,0,1,0,0,0xD0,0,,,
xOutRobotSPARE_X82,1,0,0,OutRobot,,SPARE_X82,OutRobot,0,0,0,0,0,1,0,0,0xD1,0,,,
xOutRobotSPARE_X83,1,0,0,OutRobot,,SPARE_X83,OutRobot,0,0,0,0,0,1,0,0,0xD2,0,,,
xOutRobotSPARE_X84,1,0,0,OutRobot,,SPARE_X84,OutRobot,0,0,0,0,0,1,0,0,0xD3,0,,,
xOutRobotP4_COMPLETE,1,0,0,OutRobot,,P4_COMPLETE,OutRobot,0,0,0,0,0,1,0,0,0xD4,0,,,
xOutRobotP5_INTERLOCK,1,0,0,OutRobot,,P5_INTERLOCK,OutRobot,0,0,0,0,0,1,0,0,0xD5,0,,,
xOutRobotSPARE_X87,1,0,0,OutRobot,,SPARE_X87,OutRobot,0,0,0,0,0,1,0,0,0xD6,0,,,
xOutRobotSPARE_X88,1,0,0,OutRobot,,SPARE_X88,OutRobot,0,0,0,0,0,1,0,0,0xD7,0,,,
xOutRobotSPARE_X89,1,0,0,OutRobot,,SPARE_X89,OutRobot,0,0,0,0,0,1,0,0,0xD8,0,,,
xOutRobotP5_COMPLETE,1,0,0,OutRobot,,P5_COMPLETE,OutRobot,0,0,0,0,0,1,0,0,0xD9,0,,,
xOutRobotP6_INTERLOCK,1,0,0,OutRobot,,P6_INTERLOCK,OutRobot,0,0,0,0,0,1,0,0,0xDA,0,,,
xOutRobotSPARE_X92,1,0,0,OutRobot,,SPARE_X92,OutRobot,0,0,0,0,0,1,0,0,0xDB,0,,,
xOutRobotSPARE_X93,1,0,0,OutRobot,,SPARE_X93,OutRobot,0,0,0,0,0,1,0,0,0xDC,0,,,
xOutRobotSPARE_X94,1,0,0,OutRobot,,SPARE_X94,OutRobot,0,0,0,0,0,1,0,0,0xDD,0,,,
xOutRobotP6_COMPLETE,1,0,0,OutRobot,,P6_COMPLETE,OutRobot,0,0,0,0,0,1,0,0,0xDE,0,,,
xOutRobotP7_INTERLOCK,1,0,0,OutRobot,,P7_INTERLOCK,OutRobot,0,0,0,0,0,1,0,0,0xDF,0,,,
xOutRobotSPARE_X97,1,0,0,OutRobot,,SPARE_X97,OutRobot,0,0,0,0,0,1,0,0,0xE0,0,,,
xOutRobotSPARE_X98,1,0,0,OutRobot,,SPARE_X98,OutRobot,0,0,0,0,0,1,0,0,0xE1,0,,,
xOutRobotSPARE_X99,1,0,0,OutRobot,,SPARE_X99,OutRobot,0,0,0,0,0,1,0,0,0xE2,0,,,
xOutRobotP7_COMPLETE,1,0,0,OutRobot,,P7_COMPLETE,OutRobot,0,0,0,0,0,1,0,0,0xE3,0,,,
xOutRobotAUTO_CALIBRATION_START_ACK,1,0,0,OutRobot,,AUTO_CALIBRATION_START_ACK,OutRobot,0,0,0,0,0,1,0,0,0xE4,0,,,
xOutRobotAUTO_CALIBRATION_MOVE_ACK,1,0,0,OutRobot,,AUTO_CALIBRATION_MOVE_ACK,OutRobot,0,0,0,0,0,1,0,0,0xE5,0,,,
xOutRobotSPARE_X103,1,0,0,OutRobot,,SPARE_X103,OutRobot,0,0,0,0,0,1,0,0,0xE6,0,,,
xOutRobotSPARE_X104,1,0,0,OutRobot,,SPARE_X104,OutRobot,0,0,0,0,0,1,0,0,0xE7,0,,,
xOutRobotSPARE_X105,1,0,0,OutRobot,,SPARE_X105,OutRobot,0,0,0,0,0,1,0,0,0xE8,0,,,
xOutRobotSPARE_X106,1,0,0,OutRobot,,SPARE_X106,OutRobot,0,0,0,0,0,1,0,0,0xE9,0,,,
xOutRobotSPARE_X107,1,0,0,OutRobot,,SPARE_X107,OutRobot,0,0,0,0,0,1,0,0,0xEA,0,,,
xOutRobotSPARE_X108,1,0,0,OutRobot,,SPARE_X108,OutRobot,0,0,0,0,0,1,0,0,0xEB,0,,,
xOutRobotSPARE_X109,1,0,0,OutRobot,,SPARE_X109,OutRobot,0,0,0,0,0,1,0,0,0xEC,0,,,
xOutRobotSPARE_X110,1,0,0,OutRobot,,SPARE_X110,OutRobot,0,0,0,0,0,1,0,0,0xED,0,,,
xOutRobotSPARE_X111,1,0,0,OutRobot,,SPARE_X111,OutRobot,0,0,0,0,0,1,0,0,0xEE,0,,,
xOutRobotSPARE_X112,1,0,0,OutRobot,,SPARE_X112,OutRobot,0,0,0,0,0,1,0,0,0xEF,0,,,
xOutRobotSPARE_X113,1,0,0,OutRobot,,SPARE_X113,OutRobot,0,0,0,0,0,1,0,0,0xF0,0,,,
xOutRobotSPARE_X114,1,0,0,OutRobot,,SPARE_X114,OutRobot,0,0,0,0,0,1,0,0,0xF1,0,,,
xOutRobotSPARE_X115,1,0,0,OutRobot,,SPARE_X115,OutRobot,0,0,0,0,0,1,0,0,0xF2,0,,,
xOutRobotSPARE_X116,1,0,0,OutRobot,,SPARE_X116,OutRobot,0,0,0,0,0,1,0,0,0xF3,0,,,
xOutRobotSPARE_X117,1,0,0,OutRobot,,SPARE_X117,OutRobot,0,0,0,0,0,1,0,0,0xF4,0,,,
xOutRobotSPARE_X118,1,0,0,OutRobot,,SPARE_X118,OutRobot,0,0,0,0,0,1,0,0,0xF5,0,,,
xOutRobotSPARE_X119,1,0,0,OutRobot,,SPARE_X119,OutRobot,0,0,0,0,0,1,0,0,0xF6,0,,,
xOutRobotSPARE_X120,1,0,0,OutRobot,,SPARE_X120,OutRobot,0,0,0,0,0,1,0,0,0xF7,0,,,
xOutRobotSPARE_X121,1,0,0,OutRobot,,SPARE_X121,OutRobot,0,0,0,0,0,1,0,0,0xF8,0,,,
xOutRobotSPARE_X122,1,0,0,OutRobot,,SPARE_X122,OutRobot,0,0,0,0,0,1,0,0,0xF9,0,,,
xOutRobotSPARE_X123,1,0,0,OutRobot,,SPARE_X123,OutRobot,0,0,0,0,0,1,0,0,0xFA,0,,,
xOutRobotSPARE_X124,1,0,0,OutRobot,,SPARE_X124,OutRobot,0,0,0,0,0,1,0,0,0xFB,0,,,
xOutRobotSPARE_X125,1,0,0,OutRobot,,SPARE_X125,OutRobot,0,0,0,0,0,1,0,0,0xFC,0,,,
xOutRobotSPARE_X126,1,0,0,OutRobot,,SPARE_X126,OutRobot,0,0,0,0,0,1,0,0,0xFD,0,,,
xOutRobotSPARE_X127,1,0,0,OutRobot,,SPARE_X127,OutRobot,0,0,0,0,0,1,0,0,0xFE,0,,,
xOutRobotSPARE_X128,1,0,0,OutRobot,,SPARE_X128,OutRobot,0,0,0,0,0,1,0,0,0xFF,0,,,
yOutRobotEXTERNAL_PLAY_START_U1,1,0,1,OutRobot,,EXTERNAL_PLAY_START_U1,OutRobot,0,0,0,0,0,1,0,0,0x80,0,,xOutRobotFAILURE/2/0/0/100;,
yOutRobotPLAY_STOP_U1,1,0,1,OutRobot,,PLAY_STOP_U1,OutRobot,0,0,0,0,0,1,0,0,0x81,0,,,
yOutRobotFAILURE_RESET,1,0,1,OutRobot,,FAILURE_RESET,OutRobot,0,0,0,0,0,1,0,0,0x82,1,,xOutRobotFAILURE/2/0/0/100;,
yOutRobotMOTOR_ON_EXTERNAL,1,0,1,OutRobot,,MOTOR_ON_EXTERNAL,OutRobot,0,0,0,0,0,1,0,0,0x83,0,,,
yOutRobotMOTOR_OFF_EXTERNAL,1,0,1,OutRobot,,MOTOR_OFF_EXTERNAL,OutRobot,0,0,0,0,0,1,0,0,0x84,0,,,
